"Stage";"Age (Ma)";"GSSP Location";"Latitude, Longitude";"Boundary Level";"Correlation Events";"Status";"Reference";"Affiliations"
"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";NA
"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";NA
"Cambrian Period";"Cambrian Period";"Cambrian Period";"Cambrian Period";"Cambrian Period";"Cambrian Period";"Cambrian Period";"Cambrian Period";NA
"Furongian Series";"Furongian Series";"Furongian Series";"Furongian Series";"Furongian Series";"Furongian Series";"Furongian Series";"Furongian Series";NA
"Stage 10";"~489.5";"candidate section is Duibian (Zhejiang province, China)";"";"";"Trilobite FAD of Lotagnostus
            americanus. An internal subStage division might be FAD of Codylodus
            adesei conodont";"";"";NA
"Jiangshanian Stage";"~494";"Duibian B section, Zhejiang province, China";"28°48.958'N 118°36.896'E";"28.2 m in Duibian B section";"FAD of agnostid trilobite Agnostotes orientalis and the FO of polymerid trilobite Irvingella angustilimbata";"Ratified 2011";"Episodes 2012; 35: 462-477";NA
"Paibian Stage";"~497";"Wuling Mountains, Huayuan County, NW Hunan Province, Chin";"28.3895°N 109.5257°E";"at 396 m in the Huaqiao Formation";"Trilobite FAD Glyptagnostus reticulatus";"Ratified 2003";"Lethaia 37, p. 365-379, 2004";NA
"Series 3";"Series 3";"Series 3";"Series 3";"Series 3";"Series 3";"Series 3";"Series 3";NA
"Guzhangian Stage";"~500.5";"Louyixi, Guzhang County, NW Hunan Province, S. China";"28.7200°N 109.9647°E";"121.3 m above the base of the Huaqiao Formation";"Trilobite FAD Lejopyge laevigata";"Ratified 2008";"Episodes 2009; 32: 41-55";NA
"Drumian Stage";"~504.5";"Drum Mountains, Millard County, Utah, USA";"39.5117°N 112.9915°W";"at the base of a dark-gray thinly laminated calcisiltite layer, 62 m above the base of the Wheeler Formation";"Trilobite FAD Ptychagnostus atavus";"Ratified 2006";"Episodes 2007; 30: 85-95";NA
"Stage 5";"~509";"candidate sections are Wuliu-Zengjiayan (east Guizhou, China) and Split Mountain (Nevada, USA)";"";"";"Trilobite, potentially FAD of Oryctocephalus indicus";"";"";NA
"Series 2";"Series 2";"Series 2";"Series 2";"Series 2";"Series 2";"Series 2";"Series 2";NA
"Stage 4";"~514";"";"";"";"Trilobite FAD Olenellus or Redlichia";"";"";NA
"Stage 3";"~521";"";"";"";"Trilobites - their FAD";"";"";NA
"Terreneuvian Series";"Terreneuvian Series";"Terreneuvian Series";"Terreneuvian Series";"Terreneuvian Series";"Terreneuvian Series";"Terreneuvian Series";"Terreneuvian Series";NA
"Stage 2";"~529";"";"";"";"Small Shelly Fossils, or Archaeocyathid species";"";"";NA
"Fortunian Stage";"541.0 ± 1.0";"Fortune Head, SE Newfoundland, Canada";"47.0762°N 55.8310°W";"2.4m above the base of Member 2 in the Chapel Island Formation";"Trace fossil FAD Trichophycus pedum";"Ratified 1992";"Episodes 1994; 17: 95-100";NA
