"Stage";"Age (Ma)";"GSSP Location";"Latitude, Longitude";"Boundary Level";"Correlation Events";"Status";"Reference";"Affiliations"
"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";NA
"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";NA
"Carboniferous Period";"Carboniferous Period";"Carboniferous Period";"Carboniferous Period";"Carboniferous Period";"Carboniferous Period";"Carboniferous Period";"Carboniferous Period";NA
"Pennsylvanian SubPeriod (series Classification Approved In 2004)";"Pennsylvanian SubPeriod (series Classification Approved In 2004)";"Pennsylvanian SubPeriod (series Classification Approved In 2004)";"Pennsylvanian SubPeriod (series Classification Approved In 2004)";"Pennsylvanian SubPeriod (series Classification Approved In 2004)";"Pennsylvanian SubPeriod (series Classification Approved In 2004)";"Pennsylvanian SubPeriod (series Classification Approved In 2004)";"Pennsylvanian SubPeriod (series Classification Approved In 2004)";NA
"Upper Pennsylvanian Series";"Upper Pennsylvanian Series";"Upper Pennsylvanian Series";"Upper Pennsylvanian Series";"Upper Pennsylvanian Series";"Upper Pennsylvanian Series";"Upper Pennsylvanian Series";"Upper Pennsylvanian Series";NA
"Gzhelian Stage";"303.7 ± 0.1";"candidates are in southern Urals or Nashui (south China).";"";"";"Conodont FADIdiognathodus simulator (s.str.). Close to FAD of ammonoid Shumardites.";"";"";NA
"Kasimovian Stage";"307.0 ± 0.1";"candidates are in southern Urals, southwest USA and Nashui (south China).";"";"";"Fusulinid FAD Protriticites, which is near ammonoid FAD Eothalossoceras. Alternative (higher) base is fusulinid FAD Montiparus montiparus, which is near Conodont FADIdiognathodus
            sagittalis. Stage given here is the higher version; the lower one is about 1 myr older.";"";"";NA
"Middle Pennsylvanian Series";"Middle Pennsylvanian Series";"Middle Pennsylvanian Series";"Middle Pennsylvanian Series";"Middle Pennsylvanian Series";"Middle Pennsylvanian Series";"Middle Pennsylvanian Series";"Middle Pennsylvanian Series";NA
"Moscovian Stage";"315.2 ± 0.2";"candidates are in southern Urals or Nashui (south China).";"";"";"Either Conodont FADIdiognathoides postsulcatus or Declinognathodus donetzianus.";"";"";NA
"Lower Pennsylvanian Series";"Lower Pennsylvanian Series";"Lower Pennsylvanian Series";"Lower Pennsylvanian Series";"Lower Pennsylvanian Series";"Lower Pennsylvanian Series";"Lower Pennsylvanian Series";"Lower Pennsylvanian Series";NA
"Bashkirian Stage";"323.2 ± 0.4";"Arrow Canyon, Nevada";"36.7333°N 114.7778°W";"82.9m above the top of the Battleship Formation in the lower Bird Spring Formation";"Conodont FADDeclinognathodus noduliferus";"Ratified 1996";"Episodes 1999; 22: 272-283";NA
"Mississippian SubPeriod";"Mississippian SubPeriod";"Mississippian SubPeriod";"Mississippian SubPeriod";"Mississippian SubPeriod";"Mississippian SubPeriod";"Mississippian SubPeriod";"Mississippian SubPeriod";NA
"Upper Mississippian Series (series Classification Approved In 2004)";"Upper Mississippian Series (series Classification Approved In 2004)";"Upper Mississippian Series (series Classification Approved In 2004)";"Upper Mississippian Series (series Classification Approved In 2004)";"Upper Mississippian Series (series Classification Approved In 2004)";"Upper Mississippian Series (series Classification Approved In 2004)";"Upper Mississippian Series (series Classification Approved In 2004)";"Upper Mississippian Series (series Classification Approved In 2004)";NA
"Serpukhovian Stage";"330.9 ± 0.2";"candidates are Verkhnyaya Kardailovka (Urals) or Nashui (China)";"";"";"Conodont FADLochriea ziegleri";"";"";NA
"Middle Mississippian Series";"Middle Mississippian Series";"Middle Mississippian Series";"Middle Mississippian Series";"Middle Mississippian Series";"Middle Mississippian Series";"Middle Mississippian Series";"Middle Mississippian Series";NA
"Visean Stage";"346.7 ± 0.4";"Pengchong, south China";"24.4333°N 109.4500°E";"base of bed 83 in the Pengchong Section";"Benthic Foraminifer FAD Eoparastaffella simplex";"Ratified 2008";"Episodes 2003; 26: 105-115";NA
"Lower Mississippian Series";"Lower Mississippian Series";"Lower Mississippian Series";"Lower Mississippian Series";"Lower Mississippian Series";"Lower Mississippian Series";"Lower Mississippian Series";"Lower Mississippian Series";NA
"Tournaisian Stage";"358.9 ± 0.4";"La Serre, France";"43.5555°N 3.3573°E";"base of Bed 89 in Trench E' at La Serre, (but FAD now known to be at base of Bed 85)";"Conodont FADSiphonodella sulcata IMPRECISE (GSSP discovered in 2006 to have biostratigraphic problems, and can not be correlated with precision.)";"Ratified 1990";"Episodes 1991; 14: 331-336; Newsletters on Stratigraphy 2009; 43: 195-205";NA
