"Stage";"Age (Ma)";"GSSP Location";"Latitude, Longitude";"Boundary Level";"Correlation Events";"Status";"Reference";"Affiliations"
"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";NA
"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";NA
"Cretaceous Period";"Cretaceous Period";"Cretaceous Period";"Cretaceous Period";"Cretaceous Period";"Cretaceous Period";"Cretaceous Period";"Cretaceous Period";NA
"Upper Cretaceous Series";"Upper Cretaceous Series";"Upper Cretaceous Series";"Upper Cretaceous Series";"Upper Cretaceous Series";"Upper Cretaceous Series";"Upper Cretaceous Series";"Upper Cretaceous Series";NA
"Maastrichtian Stage";"72.1±0.2";"Tercis les Bains, Landes, France";"43.6795°N 1.1133°W";"level 115.2 on platform IV of the geological site at Tercis les Bains";"Mean of 12 biostratigraphic criteria of equal importance. Closely above is FAD of ammonite Pachydiscus neubergicus. Boreal proxy is FAD of belemnite Belemnella lanceolata.";"Ratified 2001";"Episodes 2001; 24: 229-238";NA
"Campanian Stage";"83.6±0.2";"candidates are in southern England and in Texas";"";"";"Crinoid LAD Marsupites testudinarius";"";"";NA
"Santonian Stage";"86.3 ± 0.5";"Olazagutia, Navarra, Spain";"42.8668°N, 2.1968°W";"94.4 m in the Cantera de Margas quarry section";"the FO of the inoceramid bivalve Platyceramus undulatoplicatus";"Ratified 2013";"Episodes 2014; 37: 2-13";NA
"Coniacian Stage";"89.8 ± 0.3";"Salzgitter-Salder, Lower Saxony, Germany";"52.1243°N, 10.3295°E";"base of Bed 46 in the Salzgitter-Salder section";"first occurrence of the inoceramid Cremnoceramus deformis erectus";"Ratified 2021";"In preparation, (Walaszczyk et al.)";NA
"Turonian Stage";"93.9";"Pueblo, Colorado, USA";"38.2822°N, 104.7275°W";"base of Bed 86 of the Bridge Creek Limestone Member";"Ammonite FAD Watinoceras devonense";"Ratified 2003";"Episodes 2005; 28: 93-104";NA
"Cenomanian Stage";"100.5";"Mount Risou, Hautes-Alpes, France";"44.3925°N 5.5119°E";"36 meters below the top of the Marnes Bleues Formation on the south side of Mont Risou";"Planktonic foraminifer FAD Rotalipora globotruncanoides";"Ratified 2002";"Episodes 2004; 27: 21-32";NA
"Lower Cretaceous Series";"Lower Cretaceous Series";"Lower Cretaceous Series";"Lower Cretaceous Series";"Lower Cretaceous Series";"Lower Cretaceous Series";"Lower Cretaceous Series";"Lower Cretaceous Series";NA
"Albian Stage";"~113.0";"Col de Pré-Guittard, Department of Drôme, southeastern France";"44°29'47.78""N, 5°18'42.36""E";"37.4 m above the base of the section and 0.4 m above the base of the laminated Niveau Kilian bed";"Lowest occurrence of the planktonic foraminifer Microhedbergella renilaevis";"Ratified 2016";"Episodes 40/3, p. 177-188, 2017";NA
"Aptian Stage";"~125.0";"candidate is Gorgo a Cerbara, Piobbico, Umbria-Marche, central Italy";"";"";"Magnetic - base of Chron M0r; near FAD of Paradeshayesites oglanlensis ammonite zone";"";"";NA
"Barremian Stage";"~129.4";"candidate is Río Argos near Caravaca, Murcia Province, Spain";"";"";"Ammonite FAD Spitidiscus hugii - Spitidiscus vandeckii group";"";"";NA
"Hauterivian Stage";"~132.9";"La Charce, Department of Drôme, southeastern France";"44°28'10.0""N, 5°26'37.4""E";"base of bed 189 in the La Charce section";"First occurrence of the ammonite genus Acanthodiscus which marks the base of the Acanthodiscus radiatus ammonite Zone";"Ratified 2019";"Episodes 2021; 44(2): 129-150";NA
"Valanginian Stage";"~139.8";"candidates are near Montbrunles- Bains (Drôme province, SE France) and Cañada Luenga (Betic Cordillera, S. Spain)";"";"";"Calpionellid FAD Calpionellites darderi (base of Calpionellid Zone E); followed by ammonite FAD ""Thurmanniceras"" pertransiens";"";"";NA
"Berriasian Stage";"~145.0";"";"";"";"Candidates include: (1) Magnetic - base of Chron M18r, (2) Base of Calpionellid zone B, (3) ammonite FAD of Berriasella jacobi";"";"";NA
