"Stage";"Age (Ma)";"GSSP Location";"Latitude, Longitude";"Boundary Level";"Correlation Events";"Status";"Reference";"Affiliations"
"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";NA
"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";NA
"Devonian Period";"Devonian Period";"Devonian Period";"Devonian Period";"Devonian Period";"Devonian Period";"Devonian Period";"Devonian Period";NA
"Upper Devonian Series";"Upper Devonian Series";"Upper Devonian Series";"Upper Devonian Series";"Upper Devonian Series";"Upper Devonian Series";"Upper Devonian Series";"Upper Devonian Series";NA
"Famennian Stage";"372.2 ± 1.6";"Coumiac Quarry, near Cessenon, Montagne Noire, France";"43.4613°N 3.0403°E";"Base of Bed 32a";"Conodont FADPalmatolepis triangularis, just above a major extinction horizon (Kellwasser Event) with conodont LADs Ancyrodella and Ozarkodina, and Goniatite LADs of Gephuroceratidae and Beloceratidae";"Ratified 1993";"Episodes 1993; 16: 433-441";NA
"Frasnian 
                        Stage";"382.7 ± 1.6";"Col du Puech de la Suque, Montage Noire, France";"43.5032°N 3.0868°E";"base of Bed 42' at Col du Puech de la Suque section E";"Conodont FADAncyrodella rotundiloba";"Ratified 1986";"Episodes 1987; 10: 97-101";NA
"Middle Devonian Series";"Middle Devonian Series";"Middle Devonian Series";"Middle Devonian Series";"Middle Devonian Series";"Middle Devonian Series";"Middle Devonian Series";"Middle Devonian Series";NA
"Givetian Stage";"387.7 ± 0.8";"Jebel Mech Irdane, Morocco";"31.2374°N 4.3541°W";"base of Bed 123";"Conodont FADPolygnathus hemiansatus";"Ratified 1994";"Episodes 1995; 18: 107-115";NA
"Eifelian Stage";"393.3 ± 1.2";"Wetteldorf, Eifel Hills, Germany";"50.1496°N 6.4716°E";"21.25m above the base of the exposed section, base of sample station WP30";"Conodont FADPolygnathus costatus partitus";"Ratified 1985";"Episodes 1985; 8: 104-109";NA
"Lower Devonian Series";"Lower Devonian Series";"Lower Devonian Series";"Lower Devonian Series";"Lower Devonian Series";"Lower Devonian Series";"Lower Devonian Series";"Lower Devonian Series";NA
"Emsian Stage";"407.6 ± 2.6";"Zinzil'ban Gorge in the Kitab State Geological Reserve, Uzbekistan";"39.2000°N 67.3056°E";"base of Bed 9/5";"Conodont FADPolygnathus kitabicus";"Ratified 1995";"Episodes 1997; 20: 235-240";NA
"Pragian Stage";"410.8 ± 2.8";"Velká Chuchle, Prague, Czech Republic";"50.0147°N 14.3726°E";"base of Bed 12 in Velká Chuchle Quarry";"Conodont FADEognathodus sulcatus sulcatus and Latericriodus steinachensis Morph beta";"Ratified 1989";"Episodes 1989; 12: 109-113";NA
"Lochkovian Stage";"419.2 ± 3.2";"Klonk, near Prague, Czech Republic";"49.9008°N 14°0611°E";"within Bed 20";"Graptolite FAD Monograptus uniformis";"Ratified 1972";"The Geologic Time Scale 2020
                        IUGS Series A, 5, p. 96-109, 1977
                        Newsletters on Stratigraphy 25, 115–125
                        Facies 26, 35–54";NA
