"Stage";"Age (Ma)";"GSSP Location";"Latitude, Longitude";"Boundary Level";"Correlation Events";"Status";"Reference";"Affiliations"
"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";NA
"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";NA
"Jurassic Period";"Jurassic Period";"Jurassic Period";"Jurassic Period";"Jurassic Period";"Jurassic Period";"Jurassic Period";"Jurassic Period";NA
"Upper Jurassic Series";"Upper Jurassic Series";"Upper Jurassic Series";"Upper Jurassic Series";"Upper Jurassic Series";"Upper Jurassic Series";"Upper Jurassic Series";"Upper Jurassic Series";NA
"Tithonian Stage";"152.1 ± 0.9";"candidates are Mt. Crussol or Canjuers (SE France) and Fornazzo (Sicily, S. Italy)";"";"";"Near base of Hybonoticeras hybonotum ammonite zone and lowest occurrence of Gravesia genus, and the base of magnetic polarity Chron M22An";"";"";NA
"Kimmeridgian Stage";"157.3 ± 1.0";"candidate is Flodigarry (Isle of Skye, NW Scotland)";"57.6610°N 6.2455°W";"";"Base of Subboreal ammonite Baylei Zone, Base of Densicostata Subzone marked by the base of the flodigarriensis horizon; Base of Boreal ammonite Bauhini Zone.";"Ratified 2021";"Episodes paper in prep/press";NA
"Oxfordian Stage";"163.5 ± 1.0";"candidates are Redcliff Point (Dorset, SW England) and Savouron (Provence, SE France)";"";"";"Ammonite Cardioceras redcliffense Horizon at base of the Cardioceras scarburgense Subzone (Quenstedtoceras
            mariae Zone)";"";"";NA
"Middle Jurassic Series";"Middle Jurassic Series";"Middle Jurassic Series";"Middle Jurassic Series";"Middle Jurassic Series";"Middle Jurassic Series";"Middle Jurassic Series";"Middle Jurassic Series";NA
"Callovian Stage";"166.1 ± 1.2";"candidates are Pfeffingen (Swabian Alb, SW Germany) and in Russia";"";"";"Ammonite FAD of the genus Kepplerites (Kosmoceratidae)             (defines base of Macrocephalites herveyi Zone in sub-Boreal province of Great Britain to southwest Germany)";"";"";NA
"Bathonian Stage";"168.3 ± 1.3";"Ravin du Bès, Bas-Auran area, Alpes de Haute Provence, France";"43.9606°N 6.3153°E";"base of limestone bed RB07";"Ammonite FAD Gonolkite convergens (defines base of Zigzagiceras zigzag Zone)";"Ratified 2008";"Episodes 2009; 32: 222-248";NA
"Bajocian Stage";"170.3 ± 1.4";"Murtinheira Section, Cabo Mondego, Portugal";"40.1992°N 8.9042°W";"base of Bed AB 11";"Ammonite FAD Hyperlioceras mundum, Hyperlioceras furcatum, Braunsina aspera, and Braunsina elegantula";"Ratified 1996";"Episodes 1997; 20: 16-22";NA
"Aalenian Stage";"174.1 ± 1.0";"Fuentelsaz, Spain";"41.1708°N 1.8333°W";"base of Bed FZ 107";"Ammonite FAD Leioceras opalinum and Leioceras lineatum";"Ratified 2000";"Episodes 2001; 24: 166-175";NA
"Lower Jurassic Series";"Lower Jurassic Series";"Lower Jurassic Series";"Lower Jurassic Series";"Lower Jurassic Series";"Lower Jurassic Series";"Lower Jurassic Series";"Lower Jurassic Series";NA
"Toarcian Stage";"182.7 ± 0.7";"Peniche (Portugal)";"39.3708ºN 9.3853ºW";"base of bed 15e (Couches de passage), uppermost Lemede Formation";"FO of the ammonite D. (E.) simplex co-occurring with D.
            (E.) pseudocommune and D. (E.) polymorphum .";"Ratified 2014";"";NA
"Pliensbachian Stage";"190.8 ± 1.0";"Wine Haven, Robin Hood's Bay, Yorkshire Coast, England";"54.4069°N 0.4975°W";"base of Bed 73b";"Ammonite association of Bifericeras donovani and Apoderoceras sp.";"Ratified 2005";"Episodes 2006; 29: 93-106";NA
"Sinemurian Stage";"199.3 ± 0.3";"East Quantoxhead, SW England";"51.1909°N 3.2364°W";"0.90 m above the base of Bed 145";"Ammonite FAD Vermiceras quantoxense, Vermiceras palmeri";"Ratified 2000";"Episodes 2002; 25: 22-28";NA
"Hettangian Stage";"201.3 ± 0.2";"Kuhjoch section, Tyrol, Austria";"47.4839°N 11.5306°E";"5.80 m above top of Koessen Formation";"FO of ammonite Psiloceras spelae tirolicum, FO of aragonitic foraminifer Praegubkinella turgescens";"Ratified 2010";"Episodes 2013; 36: 162-198";NA
