"Stage";"Age (Ma)";"GSSP Location";"Latitude, Longitude";"Boundary Level";"Correlation Events";"Status";"Reference";"Affiliations"
"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";NA
"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";NA
"Ordovician Period";"Ordovician Period";"Ordovician Period";"Ordovician Period";"Ordovician Period";"Ordovician Period";"Ordovician Period";"Ordovician Period";NA
"Upper Ordovician Series";"Upper Ordovician Series";"Upper Ordovician Series";"Upper Ordovician Series";"Upper Ordovician Series";"Upper Ordovician Series";"Upper Ordovician Series";"Upper Ordovician Series";NA
"Hirnantian Stage";"445.2 ± 1.4";"Wangjiawan North section, N of Yichang city, Western Hubei Province, China";"30.9841°N 111.4197°E";"0.39m below the base of the Kuanyinchiao Bed";"Graptolite FAD Normalograptus extraordinarius";"Ratified 2006";"Episodes 2006; 29: 183-196";NA
"Katian Stage";"453.0 ± 0.7";"Black Knob Ridge Section, Atoka, Oklahoma (USA)";"34.4305°N 96.0746°W";"4.0m above the base of the Bigfork Chert";"Graptolite FAD Diplacanthograptus caudatus";"Ratified 2006";"Episodes 2007; 30: 258-270";NA
"Sandbian Stage";"458.4 ± 0.9";"Sularp Brook, Fågelsång, Sweden";"55.7137°N 13.3255°E";"1.4m below a phosphorite marker bed in the E14b outcrop";"Graptolite FAD Nemagraptus gracilis";"Ratified 2002";"Episodes 2000; 23: 102-109";NA
"Middle Ordovician Series";"Middle Ordovician Series";"Middle Ordovician Series";"Middle Ordovician Series";"Middle Ordovician Series";"Middle Ordovician Series";"Middle Ordovician Series";"Middle Ordovician Series";NA
"Darriwilian Stage";"467.3 ± 1.1";"Huangnitang section, Changshan, Zhejiang Province, SE China";"28.8539°N 118.4897°E";"base of Bed AEP 184";"Graptolite FAD Undulograptus austrodentatus";"Ratified 1987";"Episodes 1997; 20: 158-166";NA
"Dapingian Stage";"470.0 ± 1.4";"Huanghuachang Section, NE of Yichang city, Hubei Province, S. China";"30.8605°N 110.3740°E";"10.57 m above base of the Dawan Formation";"Conodont FAD of Baltoniodus triangularis";"Ratified 2007";"Episodes 2005; 28: 105-117; Episodes 2009; 32: 96-113";NA
"Lower Ordovician Series";"Lower Ordovician Series";"Lower Ordovician Series";"Lower Ordovician Series";"Lower Ordovician Series";"Lower Ordovician Series";"Lower Ordovician Series";"Lower Ordovician Series";NA
"Floian Stage";"477.7 ± 1.4";"Diabasbrottet, Hunneberg, Sweden";"58.3589°N 12.5024°E";"in the lower Tøyen Shale, 2.1m above the top of the Cambrian";"Graptolite FAD Tetragraptus approximatus";"Ratified 2002";"Episodes 2004; 27: 265-272";NA
"Tremadocian Stage";"485.4 ± 1.9";"Green Point Section, western Newfoundland";"49.6829°N 57.9653°W";"at the 101.8m level, within Bed 23, in the measured section";"Conodont FADIapetognathus fluctivagus";"Ratified 2000";"Episodes 2001; 24: 19-28";NA
