"Stage";"Age (Ma)";"GSSP Location";"Latitude, Longitude";"Boundary Level";"Correlation Events";"Status";"Reference";"Affiliations"
"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";NA
"Cenozoic Erathem";"Cenozoic Erathem";"Cenozoic Erathem";"Cenozoic Erathem";"Cenozoic Erathem";"Cenozoic Erathem";"Cenozoic Erathem";"Cenozoic Erathem";NA
"Paleogene Period";"Paleogene Period";"Paleogene Period";"Paleogene Period";"Paleogene Period";"Paleogene Period";"Paleogene Period";"Paleogene Period";NA
"Oligocene Series";"Oligocene Series";"Oligocene Series";"Oligocene Series";"Oligocene Series";"Oligocene Series";"Oligocene Series";"Oligocene Series";NA
"Chattian Stage";"28.1";"Monte Cagnero, Umbria-Marche region, Italy";"43°38'47.81""N 12°28'03.83""E";"Highest common occurrence (HCO) of Chiloguembelina cubensis";"Oxygen isotope excursion possibly related to the Oi2a glaciation event";"Ratified 2016";"Episodes, 41 (1): 17-32.";NA
"Rupelian Stage";"33.9";"Massignano, near Ancona, Italy";"43.5328°N 13.6011°E";"base of a 0.5m thick greenishgrey marl bed 19m above base of section";"Foraminifer LAD Hantkenina and Cribrohantkenina";"Ratified 1992";"Episodes 2001; 16: 379-382";NA
"Eocene Series";"Eocene Series";"Eocene Series";"Eocene Series";"Eocene Series";"Eocene Series";"Eocene Series";"Eocene Series";NA
"Priabonian Stage";"37.8";"Alano section, Piave River; Veneto Prealps, Belluno province, N. Italy";"45°54'51.10""N 11°55'4.87""E";"The base of a prominent crystal tuff layer, the Tiziano bed, at meter 63.57";"Extinction of large acarininids and Morozovelloides crassatus; the Base of common and continuous Cribrocentrum erbae and the Top of Chiasmolithus grandis; the Base of Chron C17n and Subchron C17n.2n";"Ratified 2020";"Episodes 2021; 44(2): 151-173";NA
"Bartonian Stage";"41.2";"Contessa highway section near Gubio, Central Apennines, Italy";"";"";"Calcareous nannofossil near LAD Reticulofenestra reticulata";"";"";NA
"Lutetian Stage";"47.8";"Gorrondatxe section, Basque Country, Spain";"43°22'46.47""N, 3°00'51.61""W";"dark marl at 167.85 m in Gorrondatxe sea-cliff section";"LO of calcareous nannofossil Blackites inflatus (CP12a/b boundary); middle of polarity Chron C21r";"Ratified 2011";"Episodes 2011; 34: 86-108";NA
"Ypresian Stage";"56.0";"Dababiya, near Luxor, Egypt";"25.5000°N 32.5311°E";"Base of Bed 1 in DBH subsection";"Carbon Isotope Excursion base, initiation of basal Eocene Thermal maximum (""PETM"")";"Ratified 2003";"Micropaleontology 49/1, p.41 - 59, 2003; Episodes 2007; 30: 271-286";NA
"Paleocene Series";"Paleocene Series";"Paleocene Series";"Paleocene Series";"Paleocene Series";"Paleocene Series";"Paleocene Series";"Paleocene Series";NA
"Thanetian Stage";"59.2";"Zumaia section, northern Spain";"43.3006°N 2.2594°W";"30.5m above the base of Itzurun Formation";"Magnetic - Base of Chron C26n";"Ratified 2008";"Episodes 2011; 34: 220-243";NA
"Selandian Stage";"61.6";"Zumaia section, northern Spain";"43.3006°N 2.2594°W";"base of the red marls of Itzurun Formation";"2nd radiation of the calcareous nannofossil group Fasciculithus and sea-level fall";"Ratified 2008";"Episodes 2011; 34: 220-243";NA
"Danian Stage";"66.0";"Oued Djerfane, west of El Kef, Tunisia";"36.1537°N 8.6486°E";"reddish layer at the base of the 50cm thick, dark boundary clay";"Iridium geochemical anomaly. Associated with a major extinction horizon (dinosaurs, ammonites, foraminifers, etc.)";"Ratified 1991";"Episodes 2006; 29: 263-278";NA
