"Stage";"Age (Ma)";"GSSP Location";"Latitude, Longitude";"Boundary Level";"Correlation Events";"Status";"Reference";"Affiliations"
"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";NA
"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";NA
"Permian Period";"Permian Period";"Permian Period";"Permian Period";"Permian Period";"Permian Period";"Permian Period";"Permian Period";NA
"Lopingian Series";"Lopingian Series";"Lopingian Series";"Lopingian Series";"Lopingian Series";"Lopingian Series";"Lopingian Series";"Lopingian Series";NA
"Changhsingian Stage";"254.14 ± 0.07";"Meishan, Zhejiang Province, China";"31.0819°N 119.7064°E";"base of Bed 4a- 2, 88 cm above the base of the Changxing Limestone at the Meishan D Section";"Conodont FADClarkina wangi";"Ratified 2005";"Episodes 2006; 29: 175-182";NA
"Wuchiapingian Stage";"259.51 ± 0.21";"Penglaitan, Guanxi Province, South China";"23.6953°N 109.3211°E";"base of Bed 6k in the Penglaitan Section";"Conodont FADClarkina postbitteri postbitteri";"Ratified 2004";"Episodes 2006; 29: 253-262
                        Earth Planet Sc Lett 492 (2018) 102–111";NA
"Guadalupian Series";"Guadalupian Series";"Guadalupian Series";"Guadalupian Series";"Guadalupian Series";"Guadalupian Series";"Guadalupian Series";"Guadalupian Series";NA
"Capitanian Stage";"264.28 ± 0.16";"Nipple Hill, SE Guadalupe Mountains, Texas, U.S.A";"31.9091°N 104.7892°W";"4.5m above the base of the outcrop section of the Pinery Limestone Member of the Bell Canyon Formation";"Conodont FADJinogondolella postserrata";"Ratified 2001";"Palaeogeogr. Palaeocl. 548 (2020) 109668";NA
"Wordian Stage";"266.9 ± 0.4";"Guadalupe Pass, Texas, U.S.A";"31.8658°N 104.8328°W";"7.6m above the base of the Getaway Ledge outcrop Section of the Getaway Limestone Member of the Cherry Canyon Formation";"Conodont FADJinogondolella aserrata";"Ratified 2001";"Palaeogeogr. Palaeocl. 548 (2020) 109668";NA
"Roadian Stage";"273.01 ± 0.14";"Stratotype Canyon, Texas, U.S.A";"31.8767°N 104.8768°W";"42.7m above the base of the Cutoff Formation";"Conodont FADJinogondolella nankingensis";"Ratified 2001";"Earth-Sci Rev 211 (2020) 103412";NA
"Cisuralian Series";"Cisuralian Series";"Cisuralian Series";"Cisuralian Series";"Cisuralian Series";"Cisuralian Series";"Cisuralian Series";"Cisuralian Series";NA
"Kungurian Stage";"283.5 ± 0.6";"Candidate is at Mechetlino, Southern Ural Mts, Russia";"";"";"Near Conodont FADNeostreptognathus pnevi";"Anticipated 2023";"";NA
"Artinskian Stage";"290.5 ± 0.4";"Dalny Tulkas section, Southern Ural Mts, Russia";"53.88847°N 56.51615°E";"1.2 m above the base of bed 4b, Kurort suite";"Conodont FADSweetognathus whitei";"Ratified 2022";"Submitted to Episodes";NA
"Sakmarian Stage";"293.52 ± 0.17";"Usolka section, Southern Ural Mts, Russia";"53.9247°N 56.7287°E";"55.4 m (bed 26/3) in the Usolka section";"Conodont FADMesogondolella monstra";"Ratified 2018";"Episodes 2020; 43";NA
"Asselian Stage";"298.9 ± 0.15";"Aidaralash Creek, Kazakhstan";"50.2458°N 57.8914°E";"27m above the base of Bed 19, Aidaralash Creek";"Conodont FAD of isolated-nodular morphotype of Streptognathodus ""wabaunsensis""";"Ratified 1996";"Episodes 1998; 21: 11-18";NA
