"Stage";"Age (Ma)";"GSSP Location";"Latitude, Longitude";"Boundary Level";"Correlation Events";"Status";"Reference";"Affiliations"
"Precambrian Super-Eonothem";"Precambrian Super-Eonothem";"Precambrian Super-Eonothem";"Precambrian Super-Eonothem";"Precambrian Super-Eonothem";"Precambrian Super-Eonothem";"Precambrian Super-Eonothem";"Precambrian Super-Eonothem";NA
"Proterozoic Eonothem";"Proterozoic Eonothem";"Proterozoic Eonothem";"Proterozoic Eonothem";"Proterozoic Eonothem";"Proterozoic Eonothem";"Proterozoic Eonothem";"Proterozoic Eonothem";NA
"Neoproterozoic Erathem";"Neoproterozoic Erathem";"Neoproterozoic Erathem";"Neoproterozoic Erathem";"Neoproterozoic Erathem";"Neoproterozoic Erathem";"Neoproterozoic Erathem";"Neoproterozoic Erathem";NA
"Ediacaran Period";"~635";"Enorama Creek, Flinders Ranges, South Australia";"31.3314°S 138.6334°E";"base of the Marinoan cap carbonate";"(1) rapid decay of Marinoan ice sheets and onset of distinct cap carbonates throughout the world, and (2) the beginning of a distinctive pattern of secular changes in carbon isotopes.";"Ratified 1990";"Lethaia 39, p.13- 30, 2006";NA
"Cryogenian Period";"720";"Will be placed at a that lies stratigraphically beneath the first appearance of widespread glaciation and is assigned in the interim a 'calibrated age' of circa 720 Ma";"";"";"";"";"Episodes 2019; 39";NA
"Tonian Period";"1000";"Defined chronometrically";"";"";"";"Ratified 1990";"Episodes 1991; 14";NA
"Mesoproterozoic Erathem";"Mesoproterozoic Erathem";"Mesoproterozoic Erathem";"Mesoproterozoic Erathem";"Mesoproterozoic Erathem";"Mesoproterozoic Erathem";"Mesoproterozoic Erathem";"Mesoproterozoic Erathem";NA
"Stenian Period";"1200";"Defined chronometrically";"";"";"";"Ratified 1990";"Episodes 1991; 14";NA
"Ectasian Period";"1400";"Defined chronometrically";"";"";"";"Ratified 1990";"Episodes 1991; 14";NA
"Calymmian Period";"1600";"Defined chronometrically";"";"";"";"Ratified 1990";"Episodes 1991; 14";NA
"Paleoproterozoic Erathem";"Paleoproterozoic Erathem";"Paleoproterozoic Erathem";"Paleoproterozoic Erathem";"Paleoproterozoic Erathem";"Paleoproterozoic Erathem";"Paleoproterozoic Erathem";"Paleoproterozoic Erathem";NA
"Statherian Period";"1800";"Defined chronometrically";"";"";"";"Ratified 1990";"Episodes 1991; 14";NA
"Orosirian Period";"2050";"Defined chronometrically";"";"";"";"Ratified 1990";"Episodes 1991; 14";NA
"Rhyacian Period";"2300";"Defined chronometrically";"";"";"";"Ratified 1990";"Episodes 1991; 14";NA
"Siderian Period";"2500";"Defined chronometrically, but it will be replaced by GSSP";"";"";"";"Ratified 1990";"Episodes 1991; 14";NA
