"Stage";"Age (Ma)";"GSSP Location";"Latitude, Longitude";"Boundary Level";"Correlation Events";"Status";"Reference";"Affiliations"
"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";NA
"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";"Paleozoic Erathem";NA
"Silurian Period";"Silurian Period";"Silurian Period";"Silurian Period";"Silurian Period";"Silurian Period";"Silurian Period";"Silurian Period";NA
"Prídolí Series";"423.0 ± 2.3";"Požáry Section, Reporyje, Prague, Czech Republic";"50.0277°N 14.3249°E";"within Bed 96";"Graptolite FAD Monograptus parultimus";"Ratified 1984";"Episodes 1985; 8: 101-103; Geol. Series, Nat. Mus. Wales, 9, p. 90 - 100, 1989";NA
"Ludlow Series";"Ludlow Series";"Ludlow Series";"Ludlow Series";"Ludlow Series";"Ludlow Series";"Ludlow Series";"Ludlow Series";NA
"Ludfordian Stage";"425.6 ± 0.9";"near Ludlow, UK";"52.3592°N 2.7772°W";"coincident with the base of the Leintwardine Formation";"Imprecise. May be near base of Saetograptus leintwardinensis Graptolite zone.";"Ratified 1980";"Lethaia 14; Episodes 1982; 5: 21-23; Geol. Series, Nat. Mus. Wales 1989; 9: 73-90";NA
"Gorstian Stage";"427.4 ± 0.5";"near Ludlow, UK";"52.3592°N 2.7772°W";"coincident with the base of the Lower Elton Formation";"Graptolite FAD Saetograptus (Colonograptus) varians";"Ratified 1980";"Lethaia 14; Episodes 1982; 5: 21-23; Geol. Series, Nat. Mus. Wales 1989; 9: 73-90";NA
"Wenlock Series";"Wenlock Series";"Wenlock Series";"Wenlock Series";"Wenlock Series";"Wenlock Series";"Wenlock Series";"Wenlock Series";NA
"Homerian Stage";"430.5 ± 0.7";"Sheinton Brook, Homer, UK";"52.6156°N 2.5647°W";"within upper part of the Apedale Member of the Coalbrookdale Formation";"Graptolite FAD Cyrtograptus lundgreni";"Ratified 1980";"Lethaia 14; Episodes 1982; 5: 21-23; Geol. Series, Nat. Mus. Wales 1989; 9: p. 51-73";NA
"Sheinwoodian Stage";"433.4 ± 0.8";"Hughley Brook, UK";"52.5811°N 2.6389°W";"base of the Buildwas Formation";"Imprecise. Between the base of acritarch biozone 5 and LAD of conodont Pterospathodus amorphognathoides. The current GSSP does not coincide with the base of the Cyrtograptus centrifugus Biozone, as was supposed when the GSSP was defined. Restudy recommends a slightly higher and correlatable level on condonts - the Ireviken datum 2, which coincides approximately with the base of the murchisoni Graptolite Biozone";"Ratified 1980";"Lethaia 14; Episodes 1982; 5: 21-23; Geol. Series, Nat. Mus. Wales 1989; 9: p. 51-73";NA
"Llandovery Series";"Llandovery Series";"Llandovery Series";"Llandovery Series";"Llandovery Series";"Llandovery Series";"Llandovery Series";"Llandovery Series";NA
"Telychian Stage";"438.5 ± 1.1";"Cefn-cerig Road Section, Wales, UK";"51.9700°N 3.7900°W";"within the Wormwood Formation";"Just above Brachiopod LAD Eocoelia intermedia and below FAD of Eocoelia curtisi";"Ratified 1984";"Episodes 1985; 8: 101-103; Geol. Series, Nat. Mus. Wales 1989; 9: 36-50";NA
"Aeronian Stage";"440.8 ± 1.2";"Trefawr Track Section, Wales, UK";"52.0300°N 3.7000°W";"within Trefawar Formation";"Graptolite FAD Monograptus austerus sequens";"Ratified 1984";"Episodes 1985; 8: 101-103; Geol. Series, Nat. Mus. Wales 1989; 9: 36-50";NA
"Rhuddanian Stage";"443.8 ± 1.5";"Dob's Linn, Scotland";"55.4400°N 3.2700°W";"1.6m above the base of the Birkhill Shale Formation";"Graptolite FAD Akidograptus ascensus";"Ratified 1984";"Episodes 1985; 8: 101-103; Silurian Times No. 14 (2006)";NA
