"Stage";"Age (Ma)";"GSSP Location";"Latitude, Longitude";"Boundary Level";"Correlation Events";"Status";"Reference";"Affiliations"
"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";"Phanerozoic Eonothem";NA
"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";"Mesozoic Erathem";NA
"Triassic Period";"Triassic Period";"Triassic Period";"Triassic Period";"Triassic Period";"Triassic Period";"Triassic Period";"Triassic Period";NA
"Upper Triassic Series";"Upper Triassic Series";"Upper Triassic Series";"Upper Triassic Series";"Upper Triassic Series";"Upper Triassic Series";"Upper Triassic Series";"Upper Triassic Series";NA
"Rhaetian Stage";"~208.5";"Key sections in Austria, British Columbia (Canada), and Turkey";"";"";"Near FAD of ammonite Cochloceras, conodonts Misikella spp. and Epigondolella mosheri, and radiolarian Proparvicingula moniliformis";"";"";NA
"Norian Stage";"~227";"Candidates are Black Bear Ridge in British Columbia (Canada) and Pizzo Mondello, Sicily (Italy)";"";"";"Base of Stikinoceras kerri ammonoid zone and near FAD of Metapolygnathus echinatus within the M. communisti conodont zones";"";"";NA
"Carnian Stage";"~237";"Prati di Stuores, Dolomites, Italy";"46.5269°N 11.9303°E";"base of marly limestone bed SW4, 45m from base of San Cassiano Formation";"FAD of the ammonoid Daxatina canadensis; just below FO of conodont Paragondolella polygnathiformis and base of normal-polarity magnetic zone S2n";"Ratified 2008";"Episodes 2012; 35: 414-430";NA
"Middle Triassic Series";"Middle Triassic Series";"Middle Triassic Series";"Middle Triassic Series";"Middle Triassic Series";"Middle Triassic Series";"Middle Triassic Series";"Middle Triassic Series";NA
"Ladinian Stage";"~242";"Bagolino, Province of Brescia, Northern Italy";"45.8193°N 10.4710°E";"base of a 15 - 20cm thick limestone bed overlying a distinctive groove (""Chiesense groove"") of limestone nodules in a shaly matrix, located about 5m above the base of the Buchenstein Beds";"Ammonite FAD Eoprotrachyceras curionii
            (base of the E. curionii zone). Conodont FADBudurovignathus praehungaricus is in the uppermost Anisian.";"Ratified 2005";"Episodes 2005; 28: 233-244";NA
"Anisian Stage";"247.2";"Candidate section at Desli Caira (Dobrogea, Romania); significant sections in Guizhou Province (China) and South Primorye (Russia)";"45.0742°N 28.8022°E";"In Section B, the GSSP level will be either the FAD of conodont Chiosella timorensis at the base of Bed GR7 at ca. 7 m; OR the base of magnetozone MT1n at the 5.7 m level.";"Conodont FADChiosella timorensis or Magnetic - base of magnetic polarity MT1n";"Anticipated 2009";"Albertiana 36, 2007.";NA
"Lower Triassic Series";"Lower Triassic Series";"Lower Triassic Series";"Lower Triassic Series";"Lower Triassic Series";"Lower Triassic Series";"Lower Triassic Series";"Lower Triassic Series";NA
"Olenekian Stage";"251.2";"Candidate GSSP Mud (Muth) village, Spiti valley, northwest India";"31.9654°N 78.0246°E";"base of Bed 13A-2, about 4.8m up in Mikin Formation., Section M04 (~4000 m elevation";"Conodont FADNeospathodus waageni, just above base of Rohillites rohilla ammonite zone, and below lowest occurrence of Flemingites and Euflemingites ammonite genera. Within a prominent positive Carbon-13 peak, and just above widely recognizable sequence boundary.";"Anticipated 2009";"Albertiana 36, 2007";NA
"Induan Stage";"252.17 ± 0.06";"Meishan, Zhejiang Province, China";"31.0798°N 119.7058°E";"base of Bed 27c in the Meishan D Section";"Conodont FADHindeodus parvus";"Ratified 2001";"Episodes 2001; 24: 102-114";NA
